x y
-15 -1.99840144432528e-15
-13.5 -1.50000000000001
-10.5 -3
-6 -4.5
5.55111512312578e-15 -6
7.49999999999987 -7.49999999999998
15 -8.74999999999999
15 1.34336985979644e-14
13.5 1.50000000000001
10.5 2.99999999999999
5.99999999999998 4.5
-5.24025267623074e-14 6.00000000000001
-7.49999999999978 7.49999999999996
-15 8.74999999999999
-15 -1.99840144432528e-15
